Persian_Month,Persian_Year,Gregorian_Month,Gregorian_Year,Rebar_IRR_per_kg,Steel_Billet_IRR_per_kg,Steel_Beam_IPE_IRR_per_kg,Hot-Rolled_Steel_Sheet_IRR_per_kg,Cold-Rolled_Steel_Sheet_IRR_per_kg,Galvanized_Steel_Sheet_IRR_per_kg,Wire_Rod_IRR_per_kg,Structural_Profile_IRR_per_kg,Aluminum_Ingot_IRR_per_kg,Cathode_Copper_IRR_per_kg,Zinc_Ingot_IRR_per_kg,Lead_Ingot_IRR_per_kg,Cement_Type_2_IRR_per_kg,White_Cement_IRR_per_kg,Bitumen_60/70_IRR_per_kg,Vacuum_Bottom_IRR_per_kg,Sand_IRR_per_kg,Gravel_IRR_per_kg,Gypsum_IRR_per_kg,Glass_Float_IRR_per_kg
Dey,1401,Jan,2023,232000,195000,287680,308100,380250,419250,220400,264480,1280000,4850000,460800,294400,7800,21060,155000,85250,1150,575,8800,82000
Bahman,1401,Feb,2023,228000,192000,282720,303360,374400,414720,216600,259919,1310000,4920000,471600,301300,7900,21330,158000,86900,1180,613,9000,84000
Esfand,1401,Mar,2023,225000,190000,279000,298300,368600,412300,213750,258749,1295000,4980000,479150,310800,8000,21440,160000,89600,1200,648,9200,86000
Farvardin,1402,Apr,2023,222000,188000,273060,293280,362840,404200,210900,253079,1270000,5050000,469900,304800,8100,21627,162000,90720,1220,610,9400,88000
Ordibehesht,1402,May,2023,218000,185000,268140,288600,357050,395900,204920,248519,1250000,5120000,462500,300000,8200,21976,165000,90750,1250,650,9600,90000
Khordad,1402,Jun,2023,215000,183000,266600,283650,351360,389790,202100,247249,1235000,5180000,444600,284050,8300,22410,163000,88020,1280,691,9800,93000
Tir,1402,Jul,2023,212000,186000,265000,286440,353400,390600,201400,243799,1260000,5250000,441000,277200,8250,22440,160000,88000,1300,650,10000,96000
Mordad,1402,Aug,2023,208000,190000,257920,290700,359100,395200,199680,237119,1300000,5310000,455000,299000,8400,22680,158000,88480,1320,686,10200,98000
Shahrivar,1402,Sep,2023,205000,195000,252150,298350,368550,407550,194750,231649,1340000,5380000,482400,321600,8500,22780,155000,88349,1350,729,10500,100000
Mehr,1402,Oct,2023,203000,201598,247660,306428,379004,423355,190820,231419,1370000,5450000,506900,342500,8600,22790,160000,89600,1400,700,10800,105000
Aban,1402,Nov,2023,210000,205000,258300,313650,389500,436650,197400,241499,1400000,5520000,518000,336000,8700,23229,165000,90750,1450,754,11200,108000
Azar,1402,Dec,2023,210000,208000,260400,320320,397280,447200,199500,241499,1430000,5600000,514800,328900,8800,23584,168000,92400,1500,810,11600,112000
Dey,1402,Jan,2024,230000,215000,287500,333250,412800,468700,220800,266800,1460000,5680000,525600,335800,9000,24300,172000,96320,1550,775,12000,116000
Bahman,1402,Feb,2024,248000,225000,310000,346500,427500,486000,235600,285200,1490000,5750000,551300,357600,9200,25024,178000,99680,1600,832,12500,120000
Esfand,1402,Mar,2024,266300,238000,330212,361760,447440,509320,250322,303582,1520000,5830000,562400,364800,9400,25850,185000,101750,1680,907,13000,125000
Farvardin,1403,Apr,2024,260000,235000,319800,359550,444150,507600,244400,296400,1500000,5900000,555000,360000,9500,25935,190000,104500,1720,860,13500,128000
Ordibehesht,1403,May,2024,255000,232000,313650,357280,440800,505760,242250,293250,1520000,5980000,547200,349600,9600,25920,195000,105300,1780,925,14000,132000
Khordad,1403,Jun,2024,258000,238000,319920,364140,449820,523600,245100,296700,1540000,6050000,554400,354200,9700,25996,200000,108000,1850,999,14500,136000
Tir,1403,Jul,2024,262000,245000,324880,369950,458150,534100,248900,301300,1560000,6120000,561600,358800,9800,26460,205000,112750,1920,960,15000,140000
Mordad,1403,Aug,2024,265000,250000,331250,375000,465000,537500,254400,307400,1575000,6200000,582750,378000,9900,26928,210000,117600,2000,1040,15500,145000
Shahrivar,1403,Sep,2024,268000,258000,335000,384420,477300,546960,254600,310880,1610000,6280000,595700,386400,10000,27500,215000,122549,2100,1134,16200,150000
Mehr,1403,Oct,2024,270000,265000,340200,392200,487600,551200,253800,315900,1650000,6350000,627000,412500,10200,28355,218000,122080,2200,1100,17000,155000
Aban,1403,Nov,2024,273000,275000,343980,404250,500500,563750,256620,316680,1700000,6420000,629000,408000,10400,29119,222000,122100,2350,1222,17800,162000
Azar,1403,Dec,2024,277750,290000,352742,420500,522000,580000,263862,319412,1750000,6500000,630000,420000,10600,29892,230000,124200,2500,1350,18500,170000
Dey,1403,Jan,2025,285000,310000,361950,440200,545600,604500,273600,327750,1850000,6598000,647500,425500,10800,30239,245000,132300,2650,1325,19500,178000
Bahman,1403,Feb,2025,300000,340000,378000,469199,584800,646000,285000,341999,2000000,6650000,700000,460000,11000,30579,265000,140450,2800,1456,20500,188000
