Persian_Month,Persian_Year,Gregorian_Month,Gregorian_Year,Rebar_IRR_per_ton,Steel_Billet_IRR_per_ton,Steel_Beam_IPE_IRR_per_ton,Hot-Rolled_Steel_Sheet_IRR_per_ton,Cold-Rolled_Steel_Sheet_IRR_per_ton,Galvanized_Steel_Sheet_IRR_per_ton,Wire_Rod_IRR_per_ton,Structural_Profile_IRR_per_ton,Aluminum_Ingot_IRR_per_ton,Cathode_Copper_IRR_per_ton,Zinc_Ingot_IRR_per_ton,Lead_Ingot_IRR_per_ton,Cement_Type_2_IRR_per_ton,White_Cement_IRR_per_ton,Bitumen_60/70_IRR_per_ton,Vacuum_Bottom_IRR_per_ton,Sand_IRR_per_ton,Gravel_IRR_per_ton,Gypsum_IRR_per_ton,Glass_Float_IRR_per_ton
Dey,1401,Jan,2023,232000000,195000000,287680000,308100000,380250000,419250000,220400000,264480000,1280000000,4850000000,460800000,294400000,7800000,21060000,155000000,85250000,1150000,575000,8800000,82000000
Bahman,1401,Feb,2023,228000000,192000000,282720000,303360000,374400000,414720000,216600000,259919000,1310000000,4920000000,471600000,301300000,7900000,21330000,158000000,86900000,1180000,613000,9000000,84000000
Esfand,1401,Mar,2023,225000000,190000000,279000000,298300000,368600000,412300000,213750000,258749000,1295000000,4980000000,479150000,310800000,8000000,21440000,160000000,89600000,1200000,648000,9200000,86000000
Farvardin,1402,Apr,2023,222000000,188000000,273060000,293280000,362840000,404200000,210900000,253079000,1270000000,5050000000,469900000,304800000,8100000,21627000,162000000,90720000,1220000,610000,9400000,88000000
Ordibehesht,1402,May,2023,218000000,185000000,268140000,288600000,357050000,395900000,204920000,248519000,1250000000,5120000000,462500000,300000000,8200000,21976000,165000000,90750000,1250000,650000,9600000,90000000
Khordad,1402,Jun,2023,215000000,183000000,266600000,283650000,351360000,389790000,202100000,247249000,1235000000,5180000000,444600000,284050000,8300000,22410000,163000000,88020000,1280000,691000,9800000,93000000
Tir,1402,Jul,2023,212000000,186000000,265000000,286440000,353400000,390600000,201400000,243799000,1260000000,5250000000,441000000,277200000,8250000,22440000,160000000,88000000,1300000,650000,10000000,96000000
Mordad,1402,Aug,2023,208000000,190000000,257920000,290700000,359100000,395200000,199680000,237119000,1300000000,5310000000,455000000,299000000,8400000,22680000,158000000,88480000,1320000,686000,10200000,98000000
Shahrivar,1402,Sep,2023,205000000,195000000,252150000,298350000,368550000,407550000,194750000,231649000,1340000000,5380000000,482400000,321600000,8500000,22780000,155000000,88349000,1350000,729000,10500000,100000000
Mehr,1402,Oct,2023,203000000,201598000,247660000,306428000,379004000,423355000,190820000,231419000,1370000000,5450000000,506900000,342500000,8600000,22790000,160000000,89600000,1400000,700000,10800000,105000000
