project_id,project_name,project_type,sub_type,country,region,size_metric,planned_start_year,planned_end_year,planned_duration_years,planned_cost_local_currency,planned_cost_local_value_million,planned_cost_year_basis,actual_start_year,actual_end_year,actual_duration_years,actual_cost_local_currency,actual_cost_local_value_million,cost_overrun_percent,time_overrun_years,status,budget_revision_history,primary_source
M001,Cleveland HealthLine BRT (Euclid Corridor),Transit,Bus rapid transit,USA,North America,6.8 miles + streetscape,2004,2007,3,USD,168,2003,2004,2008,4,USD,200,19,1,Completed,"2003 plan:$168M; 2005 FFGA:$197M; 2008 final:$200M (full corridor program)",https://en.wikipedia.org/wiki/HealthLine
M002,Eugene EmX Green Line BRT,Transit,Bus rapid transit,USA,North America,4 miles,2005,2007,2,USD,24.7,2005,2005,2007,2,USD,25.0,1,0,Completed,"2005:$24.7M; 2007 opened Jan 14 on time/budget; FTA Small Starts exemplar",https://en.wikipedia.org/wiki/Emerald_Express
M003,Eugene EmX West Eugene Extension,Transit,Bus rapid transit,USA,North America,9 miles,2014,2016,2,USD,77.0,2013,2014,2017,3,USD,96.5,25,1,Completed,"2013 FTA Small Starts:$77M; 2014 final FFGA:$96.5M; opened Sep 2017",https://en.wikipedia.org/wiki/Emerald_Express
M004,Tucson Sun Link Streetcar,Transit,Modern streetcar,USA,North America,3.9 miles 8 stops,2010,2013,3,USD,196.0,2010,2012,2014,2,USD,196.0,0,0.5,Completed,"2010 TIGER grant:$196M; opened Jul 2014 ~6 mo late but on budget",https://en.wikipedia.org/wiki/Sun_Link
M005,Cincinnati Bell Connector Streetcar,Transit,Modern streetcar,USA,North America,3.6 miles 18 stops,2011,2015,4,USD,110.0,2011,2012,2016,4,USD,148.0,35,1,Completed,"2011:$110M; 2014 utility-relocation overrun:$133M; 2016 final:$148M",https://en.wikipedia.org/wiki/Cincinnati_Bell_Connector
M006,Detroit QLine Streetcar,Transit,Modern streetcar,USA,North America,3.3 miles 12 stops,2014,2016,2,USD,137.0,2014,2014,2017,3,USD,142.0,4,1,Completed,"2014 construction start:$137M (mostly private); 2016 delay; 2017 May opening final $142M",https://en.wikipedia.org/wiki/QLine
M007,DC Streetcar H Street/Benning Road,Transit,Modern streetcar,USA,North America,2.4 miles 8 stops,2009,2012,3,USD,120.0,2008,2009,2016,7,USD,200.0,67,4,Completed,"2008:$65M; 2010:$120M; 2014:$170M; 2016 opened Feb $200M+ incl rebuild",https://en.wikipedia.org/wiki/DC_Streetcar
M008,Atlanta Streetcar (Downtown Loop),Transit,Modern streetcar,USA,North America,2.7 miles 12 stops,2010,2013,3,USD,72.0,2010,2012,2014,2,USD,98.0,36,1.5,Completed,"2010 TIGER:$72M; 2012:$93M; 2014 Dec opening:$98M",https://en.wikipedia.org/wiki/Atlanta_Streetcar
M009,Kansas City Streetcar Main Street Line,Transit,Modern streetcar,USA,North America,2.2 miles 16 stops,2012,2015,3,USD,102.0,2012,2014,2016,2,USD,102.0,0,0.5,Completed,"2012:$102M; 2016 May opening on budget; FTA cited as on-time/on-budget",https://en.wikipedia.org/wiki/KC_Streetcar
M010,Norfolk Tide Light Rail (HRT),Transit,Light rail,USA,North America,7.4 miles 11 stations,2007,2010,3,USD,232.0,2007,2007,2011,4,USD,338.0,46,1,Completed,"2007 FFGA:$232M; 2010:$318M (new starts amendment); 2011 opening:$338M",https://en.wikipedia.org/wiki/The_Tide_(light_rail)
M011,Phoenix Valley Metro Central Mesa Extension,Transit,Light rail extension,USA,North America,3.1 miles 4 stations,2012,2015,3,USD,200.0,2012,2012,2015,3,USD,200.0,0,0,Completed,"2012 FFGA:$199M; 2015 Aug opening on time on budget – FTA Before-and-After exemplar",https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/funding/grant-programs/capital-investments/132381/arizona-central-mesa-light-rail-extension-project-bna-study.pdf
M012,Charlotte LYNX Blue Line Extension (Northeast),Transit,Light rail extension,USA,North America,9.3 miles 11 stations,2013,2017,4,USD,1160.0,2012,2014,2018,4,USD,1163.0,0.3,0.5,Completed,"2012 FFGA:$1.16B; 2014 baseline confirmed; 2018 Mar opening:$1.163B",https://en.wikipedia.org/wiki/Lynx_Blue_Line
M013,Aurora VA Medical Center (Denver replacement hospital),Healthcare,VA hospital,USA,North America,~1.2M sf,2004,2014,10,USD,328.0,2004,2009,2018,9,USD,1730.0,427,4,Completed,"2004:$328M; 2010:$604M; 2012:$800M; 2014:$1.075B; 2015 Congress cap:$1.675B; 2018 final:$1.73B",https://www.gao.gov/products/gao-15-564t
M014,Orlando Lake Nona VA Medical Center,Healthcare,VA hospital,USA,North America,~600 beds,2008,2012,4,USD,254.0,2008,2008,2015,7,USD,665.0,162,3,Completed,"2008:$254M; 2010:$394M; 2012:$616M; 2015 final:$665M (3 location shifts)",https://www.gao.gov/products/gao-15-332t
M015,Las Vegas VA Medical Center (North Las Vegas),Healthcare,VA hospital,USA,North America,~90 beds,2007,2010,3,USD,286.0,2008,2008,2012,4,USD,600.0,110,2,Completed,"2007:$286M; 2010:$386M; 2012 final:~$600M (mid-construction scope changes)",https://www.gao.gov/products/gao-15-332t
M016,New Orleans VA Replacement Medical Center,Healthcare,VA hospital,USA,North America,~200 beds,2007,2013,6,USD,625.0,2007,2010,2016,6,USD,1000.0,60,3,Completed,"2007:$625M; 2010:$995M; 2013 baseline cap $995M; 2016 opening:~$1.0B",https://www.gao.gov/products/gao-15-332t
M017,Los Angeles US Federal Courthouse (1st & Hill),Building,Federal courthouse,USA,North America,633k sf 24 courtrooms,2006,2010,4,USD,400.0,2006,2014,2016,2,USD,417.0,4,5.5,Completed,"2006 program:$1.1B (original 41 courtrooms); 2007 cancelled; 2014 restart:$400M (24 courtrooms); 2016 Aug opening:$417M",https://www.gao.gov/products/gao-25-106724
M018,San Diego US Federal Courthouse,Building,Federal courthouse,USA,North America,460k sf 14 courtrooms,2007,2011,4,USD,348.0,2008,2008,2013,5,USD,370.0,6,2,Completed,"2007 authorized:$348M; 2009:$361M; 2013 final:$370M",https://www.gao.gov/products/gao-25-106724
M019,Salt Lake City US Federal Courthouse,Building,Federal courthouse,USA,North America,400k sf 10 courtrooms,2008,2012,4,USD,167.0,2010,2010,2014,4,USD,185.0,11,2,Completed,"2008:$167M; 2010 GMP:$172M; 2014 Apr opening:$185M",https://en.wikipedia.org/wiki/Orrin_G._Hatch_United_States_Courthouse
M020,Wichita Northwest Water Treatment Facility,Water,Drinking water plant,USA,North America,120 MGD,2019,2024,5,USD,494.0,2019,2019,2025,6,USD,560.0,13,1,In progress,"2019 GMP:$494M; 2022:$525M; 2024:$555M; 2025 commissioning:$560M+",https://en.wikipedia.org/wiki/Wichita,_Kansas
M021,Mike O'Callaghan-Pat Tillman Memorial Bridge (Hoover Dam Bypass),Bridge,Highway arch bridge,USA,North America,1900 ft length,2005,2008,3,USD,114.0,2005,2005,2010,5,USD,240.0,111,2,Completed,"2003:$114M (bridge); 2007:$160M (incl approaches); 2010 Oct opening:$240M (incl approaches; wind delays)",https://en.wikipedia.org/wiki/Mike_O'Callaghan–Pat_Tillman_Memorial_Bridge
M022,Indiana I-69 Section 5 (Bloomington-Martinsville),Highway,Interstate widening/upgrade,USA,North America,21 miles 4-lane upgrade,2014,2016,2,USD,400.0,2013,2014,2018,4,USD,632.0,58,2,Completed,"2014 P3 contract:$400M; 2017 P3 default; 2018 state takeover final:$632M",https://en.wikipedia.org/wiki/Interstate_69_in_Indiana
M023,Winter Park Library & Events Center,Building,Public library,USA,North America,~50k sf,2018,2021,3,USD,30.0,2017,2019,2021,2,USD,42.0,40,0,Completed,"2017 referendum:$30M; 2019 GMP:$39M; 2020 contract amendment:$41.7M; 2021 Dec opening:$42M",https://cityofwinterpark.org/government/projects/library-events-center/
M024,Santa Cruz Downtown Mixed-Use Library,Building,Public library + housing,USA,North America,~125k sf + 124 housing units,2022,2025,3,USD,98.0,2021,2023,2026,3,USD,168.7,72,1,In progress,"2021 city plan:$98M; 2023:$130M; 2024 approved:$168.7M (mixed-use)",https://infrastructureusa.org/billions-of-dollars-available-for-library-construction-across-the-u-s/
